,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour,index_right,dis
133,133,-0.175266,51.555361,POINT (526601.8079212494 185630.3820583675),2 serious,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2017,1,16,1448.0,13.544174177567012
134,134,-0.175846,51.549516,POINT (526577.8109464346 184979.3866762161),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2019,11,20,1189.0,4.496613846884566
135,135,-0.192435,51.537102,POINT (525461.7785068722 183570.3367412928),2 serious,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2017,11,4,1704.0,15.26435799179747
139,139,-0.146567,51.556611,POINT (528587.7740027567 185819.4120968005),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,5,16,1439.0,3.3772732916049297
140,140,-0.142795,51.523827,POINT (528941.8048513804 182180.3267070028),2 serious,1,Thursday,3 dual cwy,3 40 mph,5 slip road,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,9 unknown (s/r),0 none,2016,9,17,889.0,15.538320580258267
141,141,-0.119606,51.516353,POINT (530571.7899371416 181390.2756412374),2 serious,1,Wednesday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,1 traf sig out,0 none,2018,11,9,195.0,3.9820773681713364
143,143,-0.134678,51.530919,POINT (529484.7782904136 182983.3073592953),3 slight,1,Friday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,3,14,440.0,4.3194355106132996
144,144,-0.146401,51.536563,POINT (528655.7745973724 183590.2788450686),3 slight,1,Monday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,1,9,657.0,5.7813259193346305
145,145,-0.137631,51.542621,POINT (529246.8328899374 184279.3996126571),3 slight,1,Saturday,6 single cwy,2 30 mph,3 t/stag jun,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2018,6,22,475.0,10.07187432273749
149,149,-0.182408,51.549896,POINT (526121.8067716218 185010.3193024251),3 slight,1,Saturday,3 dual cwy,3 40 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,9,10,1634.0,11.980361055942632
152,152,-0.130177,51.520434,POINT (529826.7611855734 181825.304625851),3 slight,4,Tuesday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,4 pelican or similar,1 daylight,1 fine,1 road-dry,4 roadworks,0 none,2019,7,10,769.0,14.703925192342288
154,154,-0.139433,51.539816,POINT (529129.812402188 183964.2923419714),3 slight,1,Monday,2 one-way st,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,1 traf sig out,0 none,2019,7,8,468.0,8.479613628497253
