,index,Longitude,Latitude,geometry,Severity,Number Of Casualties,Day,Road Type,Speed Limit,Junction Detail,Junction Control,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Year,Month,Hour
74,74,-0.140681,51.54034,POINT (529041.7875387194 184020.3630047382),2 serious,1,Thursday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,10,16
75,75,-0.138619,51.527268,POINT (529221.7612038149 182570.3402427914),3 slight,1,Monday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,9 unknown,1 road-dry,0 none,0 none,2016,11,8
76,76,-0.148692,51.535898,POINT (528498.7626538029 183512.3050111323),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2019,5,17
77,77,-0.139953,51.540508,POINT (529091.795861372 184040.328636486),3 slight,1,Sunday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,7,13
78,78,-0.176692,51.55362,POINT (526507.780028946 185434.3090520356),3 slight,1,Tuesday,3 dual cwy,1 <= 20 mph,3 t/stag jun,2 auto sig,0 no xing facility in 50m,2 dark,1 fine,2 road-wet,0 none,0 none,2019,12,20
79,79,-0.144966,51.5378,POINT (528751.8053442586 183730.3608261542),3 slight,2,Friday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,2 raining,2 road-wet,0 none,0 none,2015,2,13
80,80,-0.142617,51.538842,POINT (528911.7645546736 183850.368768339),3 slight,3,Monday,6 single cwy,1 <= 20 mph,7 multi jun,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2016,3,11
81,81,-0.177432,51.545575,POINT (526478.77051014 184538.3875431694),3 slight,1,Thursday,6 single cwy,2 30 mph,3 t/stag jun,4 give way/uncontrolled,5 pedn phase at ats,1 daylight,8 other,1 road-dry,0 none,0 none,2019,2,17
82,82,-0.119879,51.516717,POINT (530551.8088117969 181430.2670297231),3 slight,1,Wednesday,3 dual cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,8,13
83,83,-0.138658,51.536189,POINT (529193.8176062899 183562.322211015),3 slight,1,Tuesday,2 one-way st,1 <= 20 mph,6 crossroads,3 stop sign,1 zebra,2 dark,1 fine,1 road-dry,0 none,0 none,2019,2,19
84,84,-0.135276,51.527934,POINT (529451.7612236948 182650.3064365828),3 slight,1,Friday,6 single cwy,1 <= 20 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,2 road-wet,0 none,0 none,2016,11,9
85,85,-0.127908,51.514238,POINT (530001.8008224643 181140.3119298549),3 slight,1,Wednesday,6 single cwy,2 30 mph,6 crossroads,4 give way/uncontrolled,1 zebra,2 dark,2 raining,2 road-wet,0 none,0 none,2016,1,22
86,86,-0.146123,51.530624,POINT (528691.7891947788 182930.3260462786),3 slight,1,Tuesday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,6,20
87,87,-0.143584,51.536339,POINT (528851.7685306162 183570.3226422948),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,6 crossroads,3 stop sign,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,11,12
88,88,-0.134722,51.530893,POINT (529481.8001826678 182980.3382529569),3 slight,1,Thursday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,7,8
89,89,-0.139832,51.541711,POINT (529096.7849035405 184174.3205980891),3 slight,1,Saturday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,2 dark,1 fine,1 road-dry,0 none,0 none,2017,3,4
90,90,-0.138652,51.526459,POINT (529221.7607444191 182480.3180509812),3 slight,1,Monday,3 dual cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,2 raining,2 road-wet,0 none,0 none,2017,11,5
91,91,-0.114186,51.525439,POINT (530921.7983752401 182410.3469908459),3 slight,1,Friday,3 dual cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,1 zebra,1 daylight,1 fine,1 road-dry,0 none,0 none,2018,2,7
92,92,-0.126021,51.528956,POINT (530090.814445653 182780.3580916874),2 serious,1,Tuesday,2 one-way st,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,8,18
93,93,-0.176328,51.53964,POINT (526571.7723989252 183880.2954004632),3 slight,1,Saturday,6 single cwy,2 30 mph,0 no jun in 20m,-2 not applicable,9 unknown (s/r),1 daylight,1 fine,1 road-dry,9 unknown (s/r),9 unknown (s/r),2017,9,12
94,94,-0.127841,51.524668,POINT (529976.7756677017 182300.2846689133),3 slight,1,Monday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,12,14
95,95,-0.127077,51.516922,POINT (530051.8207776489 181440.2575765951),3 slight,1,Monday,6 single cwy,2 30 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,2 raining,2 road-wet,0 none,0 none,2017,11,8
96,96,-0.14564,51.524771,POINT (528741.7857201495 182280.2978806862),3 slight,1,Thursday,6 single cwy,2 30 mph,9 other jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,9,8
97,97,-0.145597,51.536461,POINT (528711.8203434185 183580.3490377162),3 slight,1,Friday,2 one-way st,1 <= 20 mph,0 no jun in 20m,-2 not applicable,5 pedn phase at ats,1 daylight,2 raining,2 road-wet,0 none,0 none,2018,9,16
98,98,-0.150049,51.5618,POINT (528331.8038995395 186390.3419260416),3 slight,1,Friday,9 unknown,1 <= 20 mph,3 t/stag jun,9 unknown (s/r),1 zebra,1 daylight,8 other,1 road-dry,9 unknown (s/r),0 none,2018,7,12
99,99,-0.130704,51.516351,POINT (529801.7987515084 181370.326036764),3 slight,1,Friday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,2 dark,1 fine,1 road-dry,0 none,0 none,2017,9,0
100,100,-0.113296,51.521513,POINT (530994.792760329 181975.3536425452),3 slight,1,Tuesday,6 single cwy,1 <= 20 mph,6 crossroads,2 auto sig,5 pedn phase at ats,1 daylight,1 fine,1 road-dry,0 none,0 none,2019,4,16
101,101,-0.128211,51.513883,POINT (529981.7869378492 181100.2969031265),3 slight,1,Monday,6 single cwy,1 <= 20 mph,3 t/stag jun,4 give way/uncontrolled,0 no xing facility in 50m,1 daylight,1 fine,1 road-dry,0 none,0 none,2017,8,16
